"FileSize","Mean_BubbleSort","Lower_BubbleSort","Upper_BubbleSort","Mean_MergeSort","Lower_MergeSort","Upper_MergeSort","Mean_QuickSort","Lower_QuickSort","Upper_QuickSort","Mean_SelectionSort","Lower_SelectionSort","Upper_SelectionSort","Mean_InsertionSort","Lower_InsertionSort","Upper_InsertionSort"
62,1205.05,1176.00154888209,1234.0984511179,1215.45,1190.95720553314,1239.94279446686,1180.9,1158.9041614619,1202.8958385381,1190.2,1164.87682163325,1215.52317836675,1180.3,1157.23866182749,1203.36133817251
74,1215.55,1192.32608110735,1238.77391889265,1215.6,1186.13077524446,1245.06922475554,1188.15,1166.98736078418,1209.31263921582,1201.35,1179.79336297034,1222.90663702966,1199,1173.98996428765,1224.01003571235
89,1226.35,1202.52536650395,1250.17463349605,1221.7,1195.2651546001,1248.1348453999,1192.1,1170.71753936616,1213.48246063384,1202.4,1182.20966791281,1222.59033208719,1184,1161.16224976627,1206.83775023373
106,1231.65,1209.99358801674,1253.30641198326,1221.45,1196.5270157266,1246.3729842734,1204.8,1177.74765077966,1231.85234922034,1208.05,1183.28618084647,1232.81381915353,1204.1,1175.86727733373,1232.33272266627
127,1256.55,1229.66698841936,1283.43301158064,1236.35,1206.66372641789,1266.03627358211,1197.45,1174.82450372452,1220.07549627548,1225.05,1195.32367701898,1254.77632298102,1213.2,1188.49624881388,1237.90375118612
152,1281.45,1255.98297395581,1306.91702604419,1247.45,1219.52703148302,1275.37296851698,1212.25,1186.46563409384,1238.03436590616,1234,1211.40176707706,1256.59823292294,1210.65,1183.13511208226,1238.16488791774
182,1325.1,1293.24934788423,1356.95065211577,1264.1,1235.34455308887,1292.85544691113,1227.5,1197.96703984605,1257.03296015395,1252.15,1223.88284542331,1280.41715457669,1226,1199.72792929948,1252.27207070052
218,1385.3,1357.055764754,1413.544235246,1277.65,1249.94845947982,1305.35154052018,1230.95,1198.17615885681,1263.72384114319,1268,1239.07183942726,1296.92816057274,1247.55,1219.35504256093,1275.74495743907
261,1448.95,1410.11312228121,1487.78687771879,1292.95,1265.35887886448,1320.54112113552,1245,1213.33553534815,1276.66446465185,1312.35,1282.91683638298,1341.78316361702,1253.05,1224.60753133066,1281.49246866934
312,1557.95,1516.28703899817,1599.61296100183,1307.05,1274.4949760354,1339.6050239646,1257.05,1226.58476710022,1287.51523289978,1350.8,1316.48643108359,1385.11356891641,1287.8,1252.64637701462,1322.95362298538
374,1721.55,1671.30997029129,1771.79002970871,1338.95,1304.71854772521,1373.18145227479,1283,1249.68106931835,1316.31893068165,1410.25,1371.86474642421,1448.63525357579,1311.15,1274.84397006244,1347.45602993756
447,1927,1867.47272726037,1986.52727273963,1374.55,1341.39983347728,1407.70016652272,1318.95,1283.85254065886,1354.04745934114,1498.25,1453.87807840872,1542.62192159128,1357.25,1317.92246026419,1396.57753973581
535,2234.2,2158.66614074618,2309.73385925382,1416.35,1374.1015529941,1458.5984470059,1340,1301.95347535174,1378.04652464826,1602.6,1555.25112969537,1649.94887030463,1403.85,1367.00374125685,1440.69625874315
640,2655.8,2562.61005466859,2748.98994533141,1457.35,1415.63068493012,1499.06931506988,1358,1315.63527301668,1400.36472698332,1754.75,1698.51239843292,1810.98760156708,1473.8,1428.41857831619,1519.18142168381
766,3260.95,3141.76910981806,3380.13089018194,1505.05,1456.23991876051,1553.86008123949,1413.45,1371.6999683677,1455.2000316323,1950.6,1886.31630483564,2014.88369516436,1557.75,1506.78110950163,1608.71889049837
916,4118.95,3962.67379448024,4275.22620551976,1568.15,1517.92929489423,1618.37070510577,1441.1,1392.90733622477,1489.29266377523,2227.35,2144.90779944935,2309.79220055065,1674.6,1624.00511227504,1725.19488772496
